,Seiral No,Reviewer ID,Avg Cites,Avg CitesPerYear,Avg CitesPerAuthor,Avg Age,Keyphrases,Journal Count,Confidence Count
23,24,350d0992,1,0.47,0.3,1.77,"transact,
network,
intrus,
minor,
bangladesh,
commun,
remot,
detect,
educ,
earli,
earli childhood,
childhood,
network intrus,
group,
covid-19,
mine,
data,
remot patient,
remot patient monitor,
patient,
patient monitor,
monitor,
blockchain,
smartphon,
smartphon applic,
applic,
tribal,
use,
onlin,
institut,
design,
ict,
ict intervent,
intervent,
shop,
growth,
autism,
caus,
heart,
heart attack,
attack,
result,
cardiovascular,
tradit,
network intrus detect,
intrus detect,
approach,
learn,
way,
ecd,
enclos,
enclos cognit,
cognit,
physic,
socio-emot,
socio-emot growth,
veri,
absent,
belief,
bring,
child,
internet,
challeng,
peopl,
detect network,
detect network intrus,
effect,
machin,
machin learn,
method,
track,
avail,
behavior,
diseas,
system,
wfr-tm,
wait-fre,
wait-fre reader,
reader,
sacrif,
sacrif specul,
specul,
writer,
transact memori,
memori,
tm,
promis,
promis concurr,
promis concurr program,
promis concurr program paradigm,
concurr,
concurr program,
concurr program paradigm,
program,
program paradigm,
paradigm,
employ,
employ transact,
achiev,
achiev synchron,
synchron,
access,
transact variabl,
variabl,
commit,
updat,
techniqu,
tempor,
tempor signatur,
tempor signatur mine,
signatur,
signatur mine,
grow,
grow speed,
speed,
data transmiss,
transmiss,
tradit data,
tradit data mine,
data mine,
systemat,
systemat review,
review,
abstract,
abstract remot,
abstract remot patient,
abstract remot patient monitor,
rpm,
evolv,
evolv part,
part,
medic,
medic industri,
industri,
gain,
maximum,
dure,
dure covid-19,
dure covid-19 pandem,
covid-19 pandem,
pandem,
aris,
reinvent,
ux/ui,
countri,
tribal peopl,
privileg,
benefit,
smartphon applic hardli,
smartphon applic hardli persuad,
applic hardli,
applic hardli persuad,
hardli,
hardli persuad,
persuad,
tribal commun,
smart,
smart cell,
smart cell phone,
cell,
cell phone,
phone,
cheapli,
cheapli avail,
emerg,
polar,
margin,
onlin educ,
onlin educ system,
educ system,
polici,
ensur,
ensur inclus,
ensur inclus educ,
inclus,
inclus educ,
befor,
befor covid-19,
onlin learn,
onlin learn wa,
learn wa,
wa,
educ institut,
unavail,
proper,
proper devic,
devic,
student,
lack,
train,
integr,
provid,
determin,
effect machin,
effect machin learn,
effect machin learn techniqu,
machin learn techniqu,
learn techniqu,
detect phish,
detect phish websit,",10,3
24,25,b8104020,13.34,3.99,3.19,4.11,"smart,
network,
comput,
market,
servic,
iot,
predict,
system,
cloud,
thi,
stock,
fog,
mobil,
use,
healthcar,
influenc,
ha,
technolog,
user,
resourc,
base,
maxim,
manag,
learn,
influenc maxim,
research,
human,
devic,
machin,
commun,
emot,
inform,
approach,
psychiatr,
heterogen,
provid,
deep,
applic,
ambient,
state,
natur,
model,
data,
mental,
thi paper,
paper,
intellig,
year,
emerg,
becom,
band,
architectur,
home,
wireless,
im,
distribut,
mine,
effici,
recognit,
edg,
energi,
howev,
challeng,
assist,
sensor,
studi,
review,
offload,
content,
autonom,
demand,
ambient assist,
load,
load balanc,
balanc,
area,
navig,
environ,
video,
algorithm,
increas,
machin learn,
stock market,
internet,
smart grid,
grid,
therefor,
propos,
cloud comput,
addict,
method,
differ,
enabl,
target,
affect,
equip,
adopt,
requir,
problem,
ieee,
ieee transact,
transact,
servic manag,
novel,
veri,
design,
custom,
wireless network,
smart home,
fish,
vehicl,
pqha,
smart citi,
citi,
respons,
decis,
learn base,
issu,
trade,
industri,
bangla,
covid-19,
effect,
activ,
deep learn,
media,
techniqu,
improv,
person,
ahm,
target market,
process,
framework,
peopl,
mood,
select,
electron,
time,
patient,
human resourc,
observ,
qualiti,
indoor,
monitor,
thi research,
cell,
limit,
especi,
fog comput,
mani,
page,
smartphon,
broker,
[,
web,
explor,
health,
amount,
exist,
signific,
icn,
phone,
improv pqha,
reson,
gp,
gp l,
l,
l1,
properti,
sever,
heterogen wireless,
heterogen wireless network,
optim,
machin translat,
translat,
electr,
viru,
etc,
influenti,
influenti user,
solut,
employe,
order,
present,
healthcar servic,
recommend,
emot recognit,
match,
life,
stock trade,
interest,
organ,
emerg psychiatr,
emerg psychiatr state,
psychiatr state,
behavior,
understand,
featur,
day,
evolut,",97,3
25,26,6f4e935b,10.83,5.08,4.5,3.33,"covid-19,
nd,
t2d,
sensor,
diseas,
node,
key,
word,
corpu,
wa,
system,
cluster,
correct,
sentenc,
molecular,
comorbid,
network,
secur,
sensor network,
sars-cov-2,
pulmonari,
ipf,
copd,
recognit,
describ,
test,
featur,
neurolog,
gbm,
cn,
verif,
model,
progress,
ad,
pd,
genet,
diabet,
deg,
gene,
type,
disord,
structur,
risk,
thi paper,
paper,
data,
interact,
neurolog diseas,
pathway,
commun,
secret,
secret key,
updat,
bioinformat,
patient,
predict,
drugâ€“target,
cn disord,
bangla,
sever,
link,
ha,
impact,
approach,
investig,
check,
word use,
express,
detect,
cancer,
signal pathway,
chronic,
explor,
signal,
method,
mechan,
cell,
analys,
transcriptom,
sentenc structur,
sampl,
identifi,
kidney,
liver,
techniqu,
possibl,
therefor,
mani,
creat,
influenc,
dataset,
system biolog,
system biolog approach,
biolog,
biolog approach,
machin,
differ,
molecular mechan,
experiment,
analysi,
key manag,
key manag techniqu,
manag,
manag techniqu,
wireless,
wireless sensor,
wireless sensor network,
deploy,
sensor node,
cluster head,
head,
ontolog,
individu,
signific,
biomark,
limit,
idiopath,
idiopath pulmonari,
idiopath pulmonari fibrosi,
pulmonari fibrosi,
fibrosi,
chronic obstruct,
chronic obstruct pulmonari,
chronic obstruct pulmonari diseas,
obstruct,
obstruct pulmonari,
obstruct pulmonari diseas,
pulmonari diseas,
propos,
indic,
novel,
increas,
affect,
tissu,
use,
discov,
framework,
perform,
transcript,
mani domain,
domain,
spell,
syntact,
syntact verif,
speech,
speech recognit,
machin translat,
translat,
charact,
charact recognit,
thi paper describ,
paper describ,
experiment corpu,
experiment corpu contain,
corpu contain,
contain,
word token,
word token wa,
word token wa use,
token,
token wa,
token wa use,
wa use,
train,
corpu wa,
part,
bdnc01,
bdnc01 corpu,
sipl,
sipl lab,
lab,
islam,
islam univers,
univers,
collect,
collect sever,
collect sever sampl,
collect sever sampl text,
sever sampl,
sever sampl text,
sampl text,
text,
differ newspap,
newspap,
system wa,
system wa test,
wa test,
incorrect,
system ha,
system ha success,
ha success,
success,
rate,
possibl solut,
solut,
predti,
drugâ€“target interact,
dti,
gene express omnibu,
express omnibu,",12,2
26,27,f828dd4c,8.72,1.47,2.89,5.55,"express,
signatur,
recognit,
imag,
pattern,
motion,
ternari,
dtp,
verif,
ternari pattern,
express recognit,
featur,
tumor,
segment,
face,
use,
apparatu,
sequenc,
gene,
descriptor,
applic,
base,
retin,
vessel,
inform,
detect,
textur,
mtp,
signatur verif,
effect,
method,
human,
rover,
featur descriptor,
person,
medic,
task,
thi,
robust,
depress,
thi paper,
paper,
techniqu,
blood,
flow,
system,
classif,
lung,
edg,
accur,
approach,
challeng,
differ,
hyperspectr,
comput,
accuraci,
propos,
represent,
median,
median ternari,
median ternari pattern,
thi paper present,
paper present,
present,
motion compens,
compens,
half-shutt,
offlin,
offlin signatur,
offlin signatur verif,
object,
face recognit,
encod,
action,
research,
signific,
blood vessel,
eye,
featur descriptor base,
descriptor base,
interact,
biometr,
ha,
identifi,
automat,
textur pattern,
code,
comparison,
tumor segment,
medic imag,
field,
hundr,
bengali,
affect,
process,
import,
oper,
time,
name,
mainli,
diseas,
build,
earli,
dna,
lung tumor,
ct,
gender,
gender classif,
track,
secur,
surviv,
cyclosporin,
tacrolimu,
immunosuppress,
immunosuppress therapi,
therapi,
kidney,
kidney transplant,
transplant,
aim,
weed,
herbicid,
vessel segment,
select,
hyperspectr imag,
remot,
remot sens,
sens,
hsi,
video,
orient,
orient motion,
orient motion flow,
motion flow,
pomf,
edg respons,
edg respons valu,
respons,
respons valu,
valu,
algorithm,
voic,
voic command,
command,
life,
vision,
includ,
retin blood,
retin blood vessel,
famili,
region,
mean,
action recognit,
human action,
oper encod,
textur inform,
variat,
surveil,
consum,
simplifi,
mar,
mar rover,
martian,
repres,
perform,
individu,
dataset,
studi,
autom,
howev,
environ,
prove,
featur represent,
adapt,
adapt robust,
complet,
complet pattern,
face descriptor,
arlcp,
disord,
blood vessel segment,
remov,
imag process,
abstract,
ani,
human-comput,
human-comput interact,
use deep,
deep,
network,
compon,
cost,
head,
movement,
code-switch,
copy-mov,
copy-mov forgeri,
forgeri,
comput vision,",29,1
27,28,d71023c0,24.9,2.49,7.8,7.7,"provis,
vm,
passeng,
iot,
qo,
cloud,
servic,
tilt,
spectrum,
transport,
composit,
request,
radio,
techniqu,
applic,
interact,
devic,
document,
seat,
travel,
machin,
resourc,
share,
qo requir,
commun,
overhead,
algorithm,
iot applic,
match,
demand,
chuck,
privat,
mobil,
share document,
pack,
control,
placement,
iot devic,
select,
satisfi,
effici,
cr,
resourc provis,
transit,
wait,
bu,
method,
csvp,
wireless,
runtim,
runtim overhead,
respons,
public,
hybrid,
user,
cloud provid,
multimedia,
multimedia applic,
group,
migrat,
design,
ensur,
variou,
result,
manag,
initi,
level,
dynam,
dynam provis,
environ,
one-hand,
privat mobil,
privat mobil devic,
mobil devic,
exampl,
stylu,
reli,
present,
input,
cognit,
cognit radio,
work,
investig,
wrist-bas,
studi,
space,
wrist,
axe,
pronation/supin,
sever,
effect,
satisfact,
system,
resourc demand,
autom,
support,
qo awar,
qo awar spectrum,
awar spectrum,
spectrum select,
appropri,
appropri spectrum,
qo aspect,
aspect,
end,
end user,
compatibility-bas,
vm placement,
interfer,
sla,
co-loc,
technolog,
need,
awar,
comfort,
vm migrat,
network,
thi paper,
paper,
characterist,
physic,
physic machin,
assign,
avail,
inform,
propos,
use,
comput,
provid,
reduc,
adapt,
fulli,
fulli autom,
servic composit,
pourreza,
rank,
includ,
evolv,
improv,
prefer,
place,
place vm,
batch,
alloc,
time,
chang,
gener,
show,
key,
thi problem,
problem,
load,
achiev,
paramet,
hand,
interact techniqu,
util,
ha,
address,
address thi,
address thi problem,
desir,
howev,
introduc,
human,
usag,
approach,
becom,
differenti,
multiplex,
dtvm,
identifi,
scenario,
cloud environ,
research,
perform,
collect,
requir,
base,
iot paradigm,
paradigm,
spectrum util,
preference-awar,
preference-awar public,
preference-awar public transport,
preference-awar public transport match,
public transport,
public transport match,
transport match,
easili,
accumul,
provid use,
provid use servic,
use servic,
tradit,
tradit transit,
tradit transit system,
transit system,
passeng wait,
arriv,",10,2
28,29,b1d0506c,4.58,1.05,1.58,4.62,"sequenc,
pronoun,
text,
document,
sentenc,
replac,
summar,
determin,
bangla,
correspond,
correspond noun,
noun,
enhanc,
text summar,
approach,
interact,
cloud,
enterpris,
servic,
autonom,
autonom robot,
robot,
comput,
automat,
automat bangla,
automat bangla text,
automat bangla text summar,
bangla text,
bangla text summar,
secur,
work,
base,
thi,
keyphrase-bas,
etc,
news,
news document,
onlin,
inform,
propos,
mobil,
devic,
digit,
web,
avail,
rank,
research,
provid,
howev,
method,
electron,
web secur,
password,
accomplish,
devis,
extend,
upgrad,
upgrad algorithm,
algorithm,
gene,
gene sequenc,
align,
region,
string,
nucleotid,
protein,
protein sequenc,
veri,
desir,
function,
ground,
bioinformat,
determin analog,
determin analog constitu,
analog,
analog constitu,
constitu,
improv,
includ,
bengali,
bengali news,
bengali news document,
bengali news document summar,
news document summar,
document summar,
cluster,
use,
research work,
life,
pronoun replac,
verif,
step,
innov,
innov approach,
bangla news,
bangla news document,
dangl,
dangl pronoun,
replac pronoun,
inform retriev,
retriev,
comprehens,
comprehens interact,
comprehens interact model,
interact model,
model,
cloud manag,
manag,
cloud comput,
readili,
adopt,
benefit,
abil,
custom,
improv flexibl,
flexibl,
barrier,
entri,
mainten,
mainten cost,
cost,
avail etc,
ha,
world,
extract,
gener,
introduc,
sentenc rank,
thi paper,
paper,
summari,
time,
verif mechan,
mechan,
print,
print document,
inevit,
inevit relev,
relev,
day-to-day,
day-to-day life,
forgeri,
sever,
sever repercuss,
sever repercuss includ,
sever repercuss includ financi,
repercuss,
repercuss includ,
repercuss includ financi,
repercuss includ financi loss,
includ financi,
includ financi loss,
financi,
financi loss,
loss,
misjudg,
damag,
respect,
goodwil,
henc,
document need,
need,
threat,
counterfeit,
rule,
rule base,
rule base replac,
base replac,
object,
thi research,
thi research work,
knowledg,
initi,
solv,
problem,
keyphrase-bas approach,
present,
exist,
exist keyphrase-bas,
exist keyphrase-bas method,
keyphrase-bas method,
modifi,
keyphras,
keyphras select,
keyphras select process,
select,
select process,
process,
ii,
mobil ad-hoc,
mobil ad-hoc network,
mobil ad-hoc network secur,
ad-hoc,
ad-hoc network,
ad-hoc network secur,
network,
network secur,
overview,
era,
scienc,",12,4
29,30,daef2cb1,4.23,1.23,1.2,3.63,"mobil,
comput,
wlan,
cloud,
diseas,
ad,
ad hoc,
hoc,
cloud comput,
secur architectur,
architectur,
mobil cloud,
mobil cloud comput,
secur,
wireless,
protocol,
mobil ad,
mobil ad hoc,
mobil ad hoc network,
ad hoc network,
hoc network,
system,
rout,
power,
rout protocol,
access,
data,
access-point,
wireless local-area,
wireless local-area network,
local-area,
local-area network,
concurr,
minim,
concurr commun,
ieee,
use,
transmiss,
commun,
ani,
sensor,
sensor network,
elast,
transmiss power,
throughput,
ha,
forens,
base,
care,
ap,
energi,
tcp,
host,
thi,
world,
power minim,
elast wlan,
elast wlan system,
wlan system,
extens,
method,
deploy,
node,
flexibl,
underwat,
underwat sensor,
underwat sensor network,
internet,
reliabl,
approach,
meet,
transmiss power minim,
configur,
increas,
abstract,
studi,
dynam,
pi,
digit,
digit forens,
ha becom,
becom,
network,
propos,
area,
area network,
control,
raspberri,
raspberri pi,
field,
activ,
estim,
access point,
point,
interact,
smart,
ieee802,
revers,
access-point configur,
elast wireless,
elast wireless local-area,
elast wireless local-area network,
wireless local-area network system,
local-area network system,
network system,
design,
channel,
sever,
palli,
palli care,
includ,
howev,
congest,
fair,
fair control,
fair control method,
control method,
nowaday,
mechan,
robust,
reliabl rout,
reliabl rout protocol,
energy-constrain,
energy-constrain mobil,
energy-constrain mobil ad,
energy-constrain mobil ad hoc,
human,
reduc,
optim,
affect,
internet access,
instal,
effici,
dynam access-point,
base rout,
base rout protocol,
model,
background,
link,
cost,
extens deploy,
challeng,
n,
n wireless,
variou,
easi,
easi instal,
use raspberri,
use raspberri pi,
consumpt,
process,
tcp fair,
tcp fair control,
tcp fair control method,
associ,
dynam access-point configur,
perform,
packet,
user,
breast,
breast cancer,
cancer,
risk,
goal,
devic,
reason,
time,
thyroid,
thyroid disord,
disord,
inform,
raspberri pi access-point,
pi access-point,
ani form,
form,
throughput unfair,
unfair,
multipl,
multipl host,
requir,
overlap,
â€¦,
n wireless local-area,
n wireless local-area network,
data deliveri,
deliveri,
mine,
subarachnoid,
dose,
hyperbar,
hyperbar bupivacain,
bupivacain,
caesarean,
block,
pain,
link featur,
featur,
simul,
applic,
elast wlan system use,",39,2
30,31,063e6a6a,3.16,1.65,0.91,2.4,"deep,
learn,
bodi,
optim,
distribut,
cooper,
messag,
messag pass,
pass,
dcop,
box,
deep learn,
deep learn algorithm,
learn algorithm,
understand,
multi-ag,
constraint,
speed,
messag pass algorithm,
pass algorithm,
distribut constraint,
network,
gdl-base,
multi-ag system,
system,
gener,
plan,
decis,
process,
cooper multi-ag,
cooper multi-ag system,
distribut constraint optim,
distribut constraint optim problem,
constraint optim problem,
optim problem,
constraint optim,
agent,
rout,
ieee,
wireless,
wireless bodi,
wireless bodi area,
wireless bodi area network,
bodi area,
bodi area network,
area,
area network,
collect,
distribut pseudo-tre,
distribut pseudo-tre optim,
distribut pseudo-tre optim procedur,
pseudo-tre,
pseudo-tre optim,
pseudo-tre optim procedur,
optim procedur,
procedur,
model,
approach,
abstract,
function,
object,
machin,
machin learn,
gdl-base constraint,
constraint optim algorithm,
optim algorithm,
infer,
infer process,
simul,
gener distribut,
gener distribut law,
distribut law,
law,
gdl,
thi,
max-sum,
use,
solv,
ha,
data,
framework,
power,
environ,
thi paper,
paper,
algorithm,
techniqu,
base messag,
base messag pass,
base messag pass algorithm,
base,
problem,
gray,
gray box,
gray box interpret,
box interpret,
interpret,
debug,
debug approach,
deep sequenc,
deep sequenc learn,
deep sequenc learn model,
sequenc,
sequenc learn,
sequenc learn model,
learn model,
box type,
box type learn,
type,
type learn,
usabl,
solv variou,
solv variou machin,
solv variou machin learn,
variou,
variou machin,
variou machin learn,
variou machin learn problem,
machin learn problem,
machin learn problem demand,
learn problem,
learn problem demand,
learn problem demand deep,
problem demand,
problem demand deep,
demand,
demand deep,
transpar,
transpar understand,
howev,
dcop algorithm,
base algorithm,
abstract distribut,
abstract distribut constraint,
abstract distribut constraint optim,
continu,
domain,
learn cooper,
onlin,
onlin plan,
graph,
graph convolut,
graph convolut network,
convolut,
convolut network,
abstract multi-ag,
abstract multi-ag markov,
abstract multi-ag markov decis,
multi-ag markov,
multi-ag markov decis,
multi-ag markov decis process,
markov,
markov decis,
markov decis process,
decis process,
mmdp,
effect,
effect way,
way,
model sequenti,
model sequenti decis,
sequenti,
sequenti decis,
multi-ag cooper,
multi-ag cooper environ,
cooper environ,
number,
algorithm base,
decentr,
decentr plan,
featur,
featur select,
select,
learning-to-rank,
learning-to-rank use,
learning-to-rank use simul,
learning-to-rank use simul anneal,
use simul,
use simul anneal,
simul anneal,
anneal,
appli,
corner,
societi,
societi today,
today,
inher,
inher power,
larg,
larg amount,
amount,
empir,
empir data,
empir data coupl,
data coupl,
coupl,
smart,
smart statist,
smart statist techniqu,
statist,",12,3
31,32,3c8ac536,2.9,0.71,1.11,5.27,"sensor,
network,
cloud,
data,
wireless,
resourc,
wireless sensor,
wireless sensor network,
sensor network,
comput,
iot,
applic,
park,
dream,
wsn,
internet,
cloud comput,
mobil,
servic,
smart,
accid,
use,
drowsi,
ha,
devic,
detect,
thing,
bangladesh,
thi,
provid,
time,
effici,
research,
autom,
challeng,
architectur,
thin,
peopl,
mobil devic,
spectrum,
node,
thin client,
client,
machin,
base,
paper,
email,
system,
disclosur,
studi,
softwar,
user,
import,
increas,
recommend,
medic,
technolog,
emerg,
help,
effect,
protocol,
thi paper,
manag,
human,
connect,
nowaday,
educ,
gener,
sometim,
grow,
sensor node,
healthcar,
need,
iptv,
requir,
idl,
ip-wsn,
rang,
commerci,
commerci applic,
car,
driver,
opportun,
home,
surfac,
estim,
situat,
area,
util,
hi,
program,
approach,
becom,
purpos,
scalabl,
human resourc,
teacher,
teacher educ,
hrm,
present,
mani,
model,
reduc,
profit,
profit attribut,
attribut,
level,
regress,
gain,
person,
surfac water,
water,
dinajpur,
way,
day,
environ,
error,
home autom,
remain,
specif,
driver drowsi,
solut,
analysi,
multihom,
carri,
simpl,
realiti,
remot,
server,
resourc manag,
cost,
deliveri,
examin,
techniqu,
capabl,
advanc,
part,
issu,
work,
determin,
framework,
plan,
process,
research studi,
implement,
propos,
fcnc,
program committe,
committe,
optim,
secur,
becaus,
inform,
gain import,
health-car,
industri,
industri autom,
applic multi-vendor,
multi-vendor,
heterogen,
heterogen sensor,
heterogen sensor node,
deploy,
parti,
healthcar system,
remain idl,
maximum,
maximum period,
period,
lifetim,
lifetim result,
result,
mani ongo,
mani ongo research,
ongo,
ongo research,
effici way,
size,
smart park,
smart park model,
park model,
alloc,
world,
improv,
robot,
field,
today,
rout,
rout protocol,
error detect,
satellit,
messag,
email destin,
destin,
variou,
space,
relat,
consid,
distribut,
effort,",43,2
32,33,0fc4f699,9.45,1.68,2.2,5.66,"cooper,
track,
channel,
implant,
sensor,
bodi,
cluster,
human,
rendezv,
user,
human bodi,
smart,
sensor network,
citi,
object,
energy-effici,
mac,
channel rendezv,
relay,
wsn,
select,
protocol,
algorithm,
traffic,
crn,
multi-channel,
relay select,
servic,
multichannel,
schedul,
rate,
distribut,
data,
node,
wban,
implant sensor,
mac protocol,
smart citi,
cooper mac,
wake-up,
base,
adapt,
object track,
iot,
design,
concept,
licens,
wireless network,
load,
wireless sensor,
wireless sensor network,
perform,
problem,
medium,
medium access,
energi,
commun,
oper,
cognit,
cognit radio,
cycl,
btss,
dw,
research,
asynchron,
data rate,
effici,
radio,
boundari,
delay,
secondari,
secondari user,
ha,
distanc,
control,
issu,
util,
implant sensor network,
sensor node,
cloud,
cloud storag,
cloud storag servic,
storag,
storag servic,
transmiss,
techniqu,
differ,
medium access control,
access control,
i.e,
person,
helper,
band,
provid,
manag,
cluster base,
consid,
human bodi sensor,
human bodi sensor network,
wireless cooper,
heterogen,
mechan,
control channel,
sequenc,
industri,
traffic adapt,
system,
bodi sensor,
bodi sensor network,
present,
wireless cooper mac,
cooper mac protocol,
reliabl,
number,
signific,
ad,
period,
applic,
duti,
duti cycl,
access,
congest,
approach,
provis,
rate adapt,
rate adapt cooper,
adapt cooper,
exist,
health,
clustering-bas,
boundari region,
region,
temperatur,
ad hoc,
ad hoc network,
hoc,
hoc network,
throughput,
hidden,
result,
success,
primari,
overhead,
increment,
medic,
priorit,
challeng,
cognit radio network,
radio network,
person cloud,
person cloud storag,
person cloud storag servic,
mobil,
world,
wireless commun,
licens user,
technolog,
inform,
distribut wake-up,
distribut wake-up schedul,
distribut wake-up schedul algorithm,
wake-up schedul,
wake-up schedul algorithm,
schedul algorithm,
station,
mode,
area,
path,
[,
synchron,
ensur,
traffic class,
class,
etc,
continu,
hop,
cooper medium,
cooper medium access,
cooper medium access control,
energy-effici track,
continu object,
compar,
propos,
licens band,
internet,
henc,
parallel,
parallel rendezv,
procedur,
improv,
larg,
data transmiss,
simul,
multi-channel medium,
multi-channel medium access,
share,
sender,
traffic adapt channel,
traffic adapt channel util,
adapt channel,",24,4
33,34,06cdc875,63.14,26.39,20,2.44,"network,
review,
comput,
word,
network slice,
slice,
industri,
iciotrp,
confer,
confer offer,
note,
thank,
list,
fog comput,
offer,
fog,
environ,
smart,
servic,
edg,
provid,
system,
applic,
fuzzi,
fuzzi logic,
logic,
devic,
paradigm,
control,
mobil,
data,
manag,
solut,
cloud,
comput environ,
iot,
ha,
fog comput environ,
use,
distribut,
heterogen,
base,
context,
healthcar,
latenc,
execut,
framework,
internet,
thing,
speed,
speed breaker,
breaker,
driver,
resourc,
servic provid,
orchestr,
varieti,
commun,
comput paradigm,
realiti,
cloud-centr,
bengali,
stemmer,
deriv,
latency-sensit,
differ,
support,
placement,
accommod,
smart citi,
citi,
devices/sensor,
meet,
integr,
build,
ecg,
futur,
batteri,
mobil applic,
schedul,
request,
deploy,
limit,
remot,
physic,
closer,
iot-en,
oper,
aim,
defin,
fuzzi logic control,
logic control,
healthcar solut,
cyber-phys,
number,
qualiti,
overcom,
data sourc,
sourc,
context-awar,
network oper,
build multipl,
build multipl isol,
multipl,
multipl isol,
isol,
share,
share physic,
share physic network,
physic network,
cost-effici,
cost-effici solut,
level,
batteri manag,
batteri manag system,
manag system,
gener,
comput resourc,
attempt,
problem,
model,
ifogsim,
simul,
taxonomi,
consid,
ha introduc,
introduc,
sdn,
vehicl,
cloud-centr iot,
fog comput paradigm,
amelior,
solar,
solar panel,
panel,
blockchain,
approach,
caus,
variou,
requir,
latenc sensit,
sensit,
softwar,
qoe,
creation,
rapidli,
cyber-phys system,
mobil devic,
everi,
infrastructur,
experi,
increas,
geo-distribut,
user,
mobil applic schedul,
applic schedul,
cloudlet,
execut request,
cloud servic,
cloud servic provid,
term,
extend,
con-pi,
distribut container-bas,
distribut container-bas edg,
container-bas,
container-bas edg,
fog comput framework,
comput framework,
fog comput paradigm overcom,
comput paradigm overcom,
paradigm overcom,
cloud-centr execut,
differ latency-sensit,
differ latency-sensit internet,
latency-sensit internet,
offer comput,
offer comput resourc,
offer comput resourc closer,
comput resourc closer,
resourc closer,
single-board,
raspberri,
emerg,
use ifogsim,
use ifogsim toolkit,
ifogsim toolkit,
toolkit,
amount,
process,
signific,
time,
context-awar placement,
industri revolut,
revolut,
realiz,
industri ambianc,
ambianc,
commun latenc,
geograph,",28,3
34,35,2bc7b731,6.31,1.32,1.86,5.29,"context,
servic,
context-awar,
home,
model,
network,
reason,
context-awar system,
smart,
smart home,
context-awar servic,
system,
user,
domain,
provid,
boolean,
environ,
imag,
manag,
iot,
thi,
base,
control,
home environ,
activ,
context reason,
recognit,
applic,
detect,
home network,
context manag,
boolean control,
boolean control network,
control network,
electr,
spinal,
differ,
use,
thi paper,
paper,
state,
import,
adl,
smart home environ,
build,
sever,
approach,
techniqu,
platform,
present,
edg,
method,
secur,
smart space,
space,
middlewar,
context-awar applic,
process,
technolog,
distribut,
fall,
inform,
mathemat,
mathemat model,
devic,
zigbe,
speech,
increas,
comput,
reduc,
adapt,
object,
realiz,
electr imped,
electr imped tomographi,
imped,
imped tomographi,
tomographi,
eit,
conduct,
eye,
eye state,
smart home servic,
home servic,
key,
context manag framework,
manag framework,
framework,
speckl,
studi,
gener,
locat,
sens,
task,
thing,
issu,
user activ,
variou,
context inform,
deduc,
two-lay,
differ servic,
element,
featur,
chang,
avail,
effect,
background,
creat,
sensor,
system use,
deploy,
daili,
mri,
ha,
human,
modular,
converg,
converg servic,
type,
robust,
variabl,
provid context-awar,
provid context-awar servic,
field,
energi,
energi manag,
wsn,
cooper,
iot platform,
context model,
facilit,
identif,
spinal level,
level,
point,
iliac,
clinic,
anatom,
anatom landmark,
landmark,
dissemin,
realiz smart,
realiz smart home,
realiz smart home servic,
sever context-awar,
sever context-awar applic,
behavior,
behavior depend,
depend,
home occup,
occup,
context provid,
deliveri,
design,
design context,
work,
cloud,
regard,
implement,
peopl,
key element,
base approach,
profil,
usag,
sens techniqu,
advanc,
context-awar technolog,
variou domain,
differ purpos,
purpos,
number,
specif,
adequ,
intellig,
signal,
import characterist,
characterist,
context-awar system base,
system base,
servic base,
context-awar system use,
smart home base,
home base,
eye state recognit,
state recognit,
eeg,
provid servic,
actuat,
machin,
machin learn,
machin learn base,
learn,
learn base,
predict,
demand,
home user,
proactiv,
proactiv provid,
proper,",29,1
